,train_loss,val_loss,train_acc,val_acc
0,89.74339587871845,103.22970390319824,12.255139314211332,41.1023645401001
1,76.82489072359525,103.30839347839355,7.792633606837346,27.029513359069824
2,72.18480799748347,103.60037231445312,7.2180047035217285,29.277093410491943
3,69.01205092210036,103.49646186828613,6.335367826315073,19.232755184173584
4,68.12357271634616,88.14945983886719,5.700395657466008,7.599237084388733
5,66.52358011099008,84.4140796661377,5.623051496652456,6.586209177970886
6,66.30524385892429,72.13059616088867,5.380652831150935,7.0977113246917725
7,65.39722530658429,68.12078094482422,5.2708955177894,6.143686294555664
8,64.48159995445839,66.76568603515625,5.116729956406814,5.650966763496399
9,61.59137373704176,66.86569213867188,4.462451769755437,5.776098251342773
